country,2012,2013,2014,2015,2016,2017
Afghanistan,2080,2120,2100,2070,2060,2060
Angola,8040,8140,8240,8040,7570,7310
Albania,11.2k,11.4k,11.6k,11.9k,12.3k,12.8k
Andorra,47.5k,49.5k,50.9k,52.7k,54.5k,56.3k
United Arab Emirates,57.4k,59.9k,62.5k,65.3k,66.5k,67.2k
Argentina,24.1k,24.4k,23.6k,23.9k,23.2k,23.6k
Armenia,10.4k,10.7k,11k,11.3k,11.3k,12.1k
Antigua and Barbuda,18k,17.6k,18.1k,18.6k,19.4k,19.8k
Australia,46.4k,46.7k,47.2k,47.6k,48.1k,48.4k
Austria,53.3k,53k,52.9k,52.9k,53.3k,54.2k
Azerbaijan,14k,14.7k,14.9k,14.9k,14.2k,14.1k
Burundi,863,877,886,825,795,774
Belgium,48.2k,48.2k,48.7k,49.5k,49.8k,50.4k
Benin,2760,2880,2980,2950,2960,3050
Burkina Faso,1840,1880,1910,1930,1980,2040
Bangladesh,3200,3350,3510,3700,3920,4160
Bulgaria,18.9k,18.9k,19.2k,20k,20.7k,21.5k
Bahrain,45k,46.9k,48.2k,48.1k,47.9k,47.7k
Bahamas,37k,35.3k,35.8k,36k,35.7k,35.9k
Bosnia and Herzegovina,11.3k,11.7k,12.1k,12.6k,13.2k,13.8k
Belarus,18.6k,18.8k,19.1k,18.4k,17.9k,18.4k
Belize,7270,7200,7320,7360,7210,7190
Bolivia,7080,7440,7730,7980,8200,8420
Brazil,15.5k,15.8k,15.8k,15.1k,14.5k,14.5k
Barbados,15.3k,15.1k,15k,15.4k,15.7k,15.8k
Brunei,69.1k,66.7k,64.2k,63.1k,60.9k,61k
Bhutan,9080,9160,9570,10.1k,10.8k,11.1k
Botswana,14.2k,15.6k,16k,14.9k,15.7k,15.9k
Central African Republic,1300,825,823,853,884,913
Canada,46.1k,46.7k,47.6k,47.5k,47.5k,48.3k
Switzerland,66.4k,66.9k,67.7k,68k,68.7k,69.1k
Chile,23.3k,24k,24.2k,24.4k,24.5k,24.5k
China,10.4k,11.1k,11.9k,12.6k,13.4k,14.2k
Cote d'Ivoire,3060,3280,3500,3740,4110,4480
Cameroon,3300,3370,3470,3570,3630,3670
"Congo, Dem. Rep.",927,972,1030,1070,1060,1060
"Congo, Rep.",5500,5330,5550,5220,4540,4240
Colombia,12.9k,13.4k,13.9k,14.1k,14.2k,14.2k
Comoros,2950,3010,3000,2960,2990,3030
Cape Verde,6350,6320,6280,6270,6480,6640
Costa Rica,18k,18.2k,18.7k,19.1k,19.7k,20.3k
Cuba,8300,8580,8870,9170,9300,9460
Cyprus,35.6k,33.4k,33.1k,34.5k,36.5k,38.3k
Czech Republic,33.7k,33.7k,34.4k,36.2k,37k,38.8k
Germany,49.9k,50k,50.8k,51.2k,51.9k,53.1k
Djibouti,3900,4030,4240,4490,4710,4890
Dominica,11.8k,11.7k,12.2k,11.9k,12.2k,11.3k
Denmark,51.2k,51.5k,52k,52.9k,54.2k,55.4k
Dominican Republic,13.2k,13.7k,14.5k,15.3k,16.2k,16.7k
Algeria,11.2k,11.3k,11.5k,11.7k,11.8k,11.7k
Ecuador,11.4k,11.8k,12.1k,11.9k,11.6k,11.6k
Egypt,10.3k,10.3k,10.4k,10.6k,10.8k,11k
Eritrea,1340,1310,1360,1410,1410,1410
Spain,35.8k,35.4k,36k,37.4k,38.5k,39.5k
Estonia,29k,29.5k,30.5k,31k,32k,33.8k
Ethiopia,1440,1550,1660,1780,1900,2020
Finland,46k,45.3k,45k,45.1k,46.2k,47.6k
Fiji,10.9k,11.4k,12.1k,12.6k,12.8k,13.4k
France,42.8k,42.8k,43k,43.3k,43.7k,44.6k
"Micronesia, Fed. Sts.",3650,3470,3340,3450,3440,3490
Gabon,15.1k,15.3k,15.4k,15.5k,15.4k,15k
United Kingdom,42.8k,43.3k,44.2k,45k,45.7k,46.4k
Georgia,11.3k,11.7k,12.3k,12.6k,13k,13.6k
Ghana,4550,4770,4790,4790,4840,5120
Guinea,2000,2040,2060,2090,2250,2420
Gambia,2140,2130,2040,2060,2040,2070
Guinea-Bissau,1760,1770,1740,1800,1860,1930
Equatorial Guinea,36.7k,33.7k,32.4k,28.3k,24.8k,22.6k
Greece,28.3k,27.8k,28.1k,28.3k,28.2k,28.6k
Grenada,13.2k,13.4k,14.3k,15.1k,15.6k,16.2k
Guatemala,7590,7730,7940,8130,8210,8320
Guyana,10.8k,11.1k,11.2k,11.3k,11.6k,12k
"Hong Kong, China",53.8k,55.2k,56.4k,57.2k,58.1k,59.8k
Honduras,5070,5110,5180,5280,5400,5560
Croatia,24.1k,24.1k,24.1k,24.9k,25.9k,27.2k
Haiti,2970,3060,3070,3100,3120,3150
Hungary,24.8k,25.3k,26.5k,27.5k,28.2k,29.5k
Indonesia,9080,9460,9800,10.2k,10.5k,10.9k
India,4580,4820,5120,5460,5850,6180
Ireland,53k,53.4k,57.7k,71.5k,72.2k,77.7k
Iran,12.8k,12.6k,13k,12.7k,14.2k,14.5k
Iraq,9830,10.2k,9820,9950,11k,10.5k
Iceland,48.4k,50.2k,50.5k,52.1k,54.7k,55.6k
Israel,35.4k,36.4k,37.2k,37.3k,38.2k,39.1k
Italy,41.5k,40.3k,39.9k,40.2k,40.8k,41.6k
Jamaica,9430,9430,9440,9470,9550,9600
Jordan,10.7k,10.4k,10.3k,10.1k,10k,10k
Japan,38.7k,39.6k,39.7k,40.4k,40.8k,41.5k
Kazakhstan,22.7k,23.7k,24.4k,24.3k,24.2k,24.9k
Kenya,3850,3890,3980,4080,4150,4200
Kyrgyz Republic,4260,4630,4720,4810,4910,5050
Cambodia,3020,3190,3360,3540,3730,3930
Kiribati,1980,2030,1990,2170,2250,2240
St. Kitts and Nevis,21.7k,22.7k,23.9k,24k,27k,27k
South Korea,36k,37k,38k,38.8k,39.8k,41k
Kuwait,61.4k,59k,56.6k,54.8k,54.7k,50.9k
Lao,5490,5840,6190,6540,6900,7260
Lebanon,18k,17.5k,17k,16.4k,16.2k,16k
Liberia,1610,1710,1670,1630,1570,1560
Libya,18.8k,16.2k,12.2k,11k,10.6k,13.2k
St. Lucia,14.7k,14.1k,14.3k,14.1k,14.5k,14.9k
Sri Lanka,10.7k,11k,11.4k,11.9k,12.3k,12.6k
Lesotho,2590,2610,2640,2700,2780,2670
Lithuania,27.3k,28.6k,29.9k,30.7k,31.9k,33.8k
Luxembourg,112k,113k,113k,113k,116k,115k
Latvia,24k,24.7k,25.4k,26.6k,27.5k,28.7k
Morocco,6630,6830,6910,7130,7110,7310
Monaco,65.8k,65.5k,66k,66.5k,67.4k,68k
Moldova,9000,9820,10.3k,10.4k,10.9k,11.7k
Madagascar,1540,1530,1540,1550,1570,1580
Maldives,16.7k,17.1k,17.6k,17.3k,17.6k,18.1k
Mexico,18.6k,18.6k,18.9k,19.3k,19.5k,19.7k
Marshall Islands,3470,3600,3550,3590,3620,3710
North Macedonia,13.7k,14.1k,14.6k,15.1k,15.6k,15.7k
Mali,2010,2000,2080,2140,2200,2250
Malta,33.9k,35.3k,37.2k,39.8k,40.5k,42.6k
Myanmar,3110,3330,3570,3660,4020,4230
Montenegro,16.8k,17.4k,17.7k,18.3k,18.8k,19.7k
Mongolia,9480,10.4k,11k,11k,11k,11.4k
Mozambique,1120,1170,1220,1260,1270,1280
Mauritania,4790,4850,4910,5020,4950,5110
Mauritius,18k,18.6k,19.2k,19.9k,20.6k,21.4k
Malawi,1390,1420,1460,1460,1450,1470
Malaysia,22.1k,22.9k,23.9k,24.8k,25.5k,26.7k
Namibia,9630,9990,10.4k,10.7k,10.5k,10.2k
Niger,1090,1100,1130,1130,1150,1160
Nigeria,5130,5330,5520,5520,5290,5190
Nicaragua,5080,5260,5440,5630,5810,6000
Netherlands,51.9k,51.6k,52.2k,53k,53.8k,55.1k
Norway,62k,61.9k,62.4k,63k,63.1k,64.1k
Nepal,2920,3030,3220,3330,3320,3570
Nauru,8090,10.5k,13.2k,13.6k,13.9k,13k
New Zealand,38.9k,39.6k,40.4k,41.1k,41.7k,42.3k
Oman,37.7k,36.8k,34.9k,34.6k,34.6k,33.3k
Pakistan,3980,4070,4170,4280,4420,4570
Panama,25.2k,26.5k,27.4k,28.4k,29.3k,30.4k
Peru,11.2k,11.7k,11.9k,12.1k,12.4k,12.5k
Philippines,6350,6670,6970,7300,7710,8120
Palau,16.8k,16.3k,17.3k,18.5k,18.5k,17.8k
Papua New Guinea,3450,3510,3910,4080,4220,4290
Poland,25.5k,25.8k,26.6k,27.8k,28.7k,30.1k
North Korea,2060,2070,2080,2050,2030,1950
Portugal,30.2k,30k,30.4k,31.1k,31.8k,33k
Paraguay,10.5k,11.2k,11.6k,11.8k,12.2k,12.6k
Palestine,5990,6120,5970,6050,6440,6400
Qatar,96.3k,95.5k,95.6k,96k,95.6k,91.7k
Romania,21.3k,22.2k,23.1k,23.9k,25.1k,27.1k
Russia,25.9k,26.3k,26.1k,25.5k,25.5k,25.9k
Rwanda,1680,1720,1780,1890,1950,1980
Saudi Arabia,48k,47.8k,48.2k,48.9k,48.6k,47.3k
Sudan,4580,4560,4650,4630,4680,4600
Senegal,2790,2780,2870,2970,3070,3200
Singapore,83.1k,85.7k,88k,89.5k,91.3k,95.3k
Solomon Islands,2530,2590,2550,2520,2600,2660
Sierra Leone,1650,1940,1990,1540,1600,1630
El Salvador,7760,7890,7990,8140,8310,8450
San Marino,59.7k,58.4k,57.3k,58.1k,59k,58.9k
Somalia,867,877,918,1030,1080,1080
Serbia,14.9k,15.4k,15.2k,15.6k,16.2k,16.6k
South Sudan,2200,2430,2460,2160,1900,2090
Sao Tome and Principe,3460,3560,3720,3790,3880,3950
Suriname,20k,20.4k,20.2k,19.3k,18.2k,18.3k
Slovak Republic,26.5k,26.6k,27.3k,28.7k,29.2k,30.1k
Slovenia,32.6k,32.2k,33.1k,33.8k,34.9k,36.5k
Sweden,48.3k,48.5k,49.3k,50.9k,51.3k,51.9k
Eswatini,7930,8180,8190,8310,8320,8410
Seychelles,23.3k,24.2k,24.9k,25.6k,26.4k,27.3k
Syria,5610,4790,4110,3540,3590,3770
Chad,1770,1800,1870,1860,1690,1590
Togo,1750,1810,1860,1920,1980,2010
Thailand,15.4k,15.8k,15.9k,16.3k,16.8k,17.4k
Tajikistan,2640,2770,2880,2980,3110,3250
Turkmenistan,10.6k,11.5k,12.4k,13k,13.6k,14.2k
Timor-Leste,3140,3180,3270,3300,3340,3180
Tonga,5630,5700,5860,5940,6310,6470
Trinidad and Tobago,28.8k,29.2k,28.8k,29.1k,27.3k,26.3k
Tunisia,10.8k,10.9k,11.1k,11.1k,11.1k,11.2k
Turkey,22.6k,24.1k,24.9k,26k,26.4k,27.9k
Tuvalu,3320,3440,3450,3720,3790,3900
Taiwan,45.6k,46.5k,48.2k,48.4k,49k,50.6k
Tanzania,2130,2210,2290,2350,2440,2530
Uganda,2000,2000,2040,2070,2090,2080
Ukraine,13k,13k,12.4k,11.2k,11.5k,11.9k
Uruguay,20.9k,21.8k,22.4k,22.4k,22.7k,23k
United States,55.6k,56.2k,57.2k,58.5k,59.1k,60.1k
Uzbekistan,5470,5780,6080,6400,6660,6840
St. Vincent and the Grenadines,11.5k,11.7k,11.8k,12k,12.2k,12.2k
Venezuela,21.6k,24.9k,23.6k,21.9k,17.7k,15k
Vietnam,5570,5820,6100,6440,6770,7160
Vanuatu,3050,2980,2990,2920,2970,3080
Samoa,5900,5830,5790,6000,6450,6490
Yemen,4740,4840,4710,3310,2910,2700
South Africa,13.9k,14.1k,14k,14k,13.9k,13.9k
Zambia,3340,3400,3450,3440,3470,3490
Zimbabwe,3680,3680,3700,3710,3680,3800
